# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCats=EBlowR9,EBhighR9,EElowR9,EEhighR9

# photonCat       mean_change    sigma_change    rate_change
diphotonCat=0
proc=ggh
EElowR9scale        0.0005     0.0079     0.0012    
EElowR9smear        0.0001     0.0147     0.0016    
EEhighR9scale       0.0033     0.0633     0.0021    
EEhighR9smear       0.0000     0.0685     0.0011    

diphotonCat=3
proc=ggh
EBlowR9scale        0.0028     0.0148     0.0007    
EBlowR9smear        0.0000     0.0646     0.0010    
EBhighR9scale       0.0033     0.0185     0.0010    
EBhighR9smear       0.0000     0.0565     0.0010    
EElowR9scale        0.0012     0.0084     0.0009    
EElowR9smear        0.0000     0.0275     0.0016    
EEhighR9scale       0.0061     0.0763     0.0068    
EEhighR9smear       0.0001     0.0949     0.0043    

diphotonCat=3
proc=vbf
EBlowR9scale        0.0030     0.0116     0.0017    
EBlowR9smear        0.0000     0.0626     0.0017    
EBhighR9scale       0.0031     0.0190     0.0006    
EBhighR9smear       0.0000     0.0467     0.0025    
EElowR9scale        0.0014     0.0157     0.0010    
EElowR9smear        0.0001     0.0306     0.0011    
EEhighR9scale       0.0067     0.0727     0.0037    
EEhighR9smear       0.0001     0.0988     0.0030    

diphotonCat=3
proc=wh
EBlowR9scale        0.0027     0.0083     0.0016    
EBlowR9smear        0.0001     0.0533     0.0043    
EBhighR9scale       0.0029     0.0174     0.0008    
EBhighR9smear       0.0001     0.0479     0.0002    
EElowR9scale        0.0015     0.0131     0.0037    
EElowR9smear        0.0001     0.0393     0.0011    
EEhighR9scale       0.0074     0.0746     0.0041    
EEhighR9smear       0.0001     0.1216     0.0046    

diphotonCat=3
proc=zh
EBlowR9scale        0.0027     0.0156     0.0024    
EBlowR9smear        0.0001     0.0571     0.0003    
EBhighR9scale       0.0030     0.0259     0.0032    
EBhighR9smear       0.0001     0.0523     0.0015    
EElowR9scale        0.0015     0.0158     0.0032    
EElowR9smear        0.0001     0.0319     0.0030    
EEhighR9scale       0.0071     0.0791     0.0082    
EEhighR9smear       0.0001     0.1022     0.0019    

diphotonCat=3
proc=tth
EBlowR9scale        0.0031     0.0124     0.0005    
EBlowR9smear        0.0002     0.0799     0.0019    
EBhighR9scale       0.0036     0.0233     0.0023    
EBhighR9smear       0.0001     0.0798     0.0014    
EElowR9scale        0.0009     0.0059     0.0037    
EElowR9smear        0.0001     0.0231     0.0017    
EEhighR9scale       0.0040     0.0651     0.0012    
EEhighR9smear       0.0002     0.0785     0.0023    

diphotonCat=4
proc=ggh
EBlowR9scale        0.0022     0.0183     0.0036    
EBlowR9smear        0.0002     0.0722     0.0029    
EBhighR9scale       0.0044     0.0221     0.0069    
EBhighR9smear       0.0004     0.1716     0.0033    
EElowR9scale        0.0002     0.0109     0.0022    
EElowR9smear        0.0001     0.0005     0.0000    
EEhighR9scale       0.0027     0.0246     0.0108    
EEhighR9smear       0.0004     0.0617     0.0033    

diphotonCat=4
proc=vbf
EBlowR9scale        0.0024     0.0086     0.0016    
EBlowR9smear        0.0000     0.0979     0.0019    
EBhighR9scale       0.0050     0.0304     0.0000    
EBhighR9smear       0.0001     0.1674     0.0017    
EElowR9scale        0.0003     0.0035     0.0007    
EElowR9smear        0.0000     0.0096     0.0002    
EEhighR9scale       0.0023     0.0390     0.0012    
EEhighR9smear       0.0001     0.0501     0.0011    

diphotonCat=4
proc=wh
EBlowR9scale        0.0025     0.0668     0.0289    
EBlowR9smear        0.0002     0.0485     0.0181    
EBhighR9scale       0.0046     0.1420     0.0097    
EBhighR9smear       0.0004     0.2594     0.0107    
EElowR9scale        0.0005     0.0204     0.0113    
EElowR9smear        0.0003     0.0945     0.0000    
EEhighR9scale       0.0032     0.1312     0.0049    
EEhighR9smear       0.0009     0.0271     0.0107    

diphotonCat=4
proc=zh
EBlowR9scale        0.0014     0.0067     0.0268    
EBlowR9smear        0.0003     0.0186     0.0000    
EBhighR9scale       0.0061     0.0736     0.0001    
EBhighR9smear       0.0024     0.2461     0.0001    
EElowR9scale        0.0018     0.0206     0.0507    
EElowR9smear        0.0007     0.0199     0.0253    
EEhighR9scale       0.0019     0.0288     0.0282    
EEhighR9smear       0.0016     0.0288     0.0282    

diphotonCat=4
proc=tth
EBlowR9scale        0.0016     0.0454     0.0031    
EBlowR9smear        0.0001     0.0950     0.0033    
EBhighR9scale       0.0057     0.0679     0.0052    
EBhighR9smear       0.0002     0.2553     0.0023    
EElowR9scale        0.0001     0.0132     0.0024    
EElowR9smear        0.0000     0.0111     0.0028    
EEhighR9scale       0.0011     0.0179     0.0054    
EEhighR9smear       0.0002     0.0116     0.0025    

