#category		Emean	err_Emean	rho	err_rho		phi	err_phi
absEta_0_1-highR9	 6.60		0	0.0088	0.0001		M_PI_2	M_PI_2
absEta_0_1-lowR9	 6.73		0	0.0101 	0.0001		M_PI_2	M_PI_2
absEta_1_1.4442-highR9	 6.52		0	0.0128 	0.0004 		M_PI_2	M_PI_2
absEta_1_1.4442-lowR9	 6.72		0	0.0175 	0.0001		M_PI_2	M_PI_2
absEta_1.566_2-highR9	 6.76		0	0.0181 	0.0004		M_PI_2	M_PI_2
absEta_1.566_2-lowR9	 6.77		0	0.0214 	0.0002		M_PI_2	M_PI_2
absEta_2_2.5-highR9	 6.54		0	0.0257 	0.0002		M_PI_2	M_PI_2
absEta_2_2.5-lowR9	 6.73		0	0.0264 	0.0002		M_PI_2	M_PI_2
