#category		Emean	err_Emean	rho	err_rho		phi	err_phi
absEta_0_1-highR9	 6.60		0	0.0094	0.0007		M_PI_2	M_PI_2
absEta_0_1-lowR9	 6.73		0	0.0110 	0.0011		M_PI_2	M_PI_2
absEta_1_1.4442-highR9	 6.52		0	0.0126 	0.0014 		M_PI_2	M_PI_2
absEta_1_1.4442-lowR9	 6.72		0	0.0181 	0.0005		M_PI_2	M_PI_2
absEta_1.566_2-highR9	 6.76		0	0.0192 	0.0007		M_PI_2	M_PI_2
absEta_1.566_2-lowR9	 6.77		0	0.0225 	0.0013		M_PI_2	M_PI_2
absEta_2_2.5-highR9	 6.54		0	0.0260 	0.0013		M_PI_2	M_PI_2
absEta_2_2.5-lowR9	 6.73		0	0.0267 	0.0010		M_PI_2	M_PI_2
